Price,Ticker,Historical_VaR_95,CVaR_95
Close,AAPL,-0.025372638022285666,-0.03770323498453867
Close,AMZN,-0.027035055088833734,-0.0421628396276155
Close,GOOGL,-0.02596052639421712,-0.039899411293753996
Close,META,-0.029538858641204136,-0.04963051309247649
Close,MSFT,-0.02395136353433139,-0.035079825517288735
High,AAPL,-0.02219303680529646,-0.032049016635907035
High,AMZN,-0.024531909374223837,-0.037001741202260234
High,GOOGL,-0.02404949413276498,-0.03409852065406367
High,META,-0.027996655184553288,-0.04898392439422434
High,MSFT,-0.020755315557012332,-0.029716758235805205
Low,AAPL,-0.024518582762212228,-0.03889674164900551
Low,AMZN,-0.027945955684038747,-0.04359105270589361
Low,GOOGL,-0.025170360128758174,-0.042180469734408754
Low,META,-0.03088077061019364,-0.05160139806188174
Low,MSFT,-0.023591407120672182,-0.03686699741241131
Open,AAPL,-0.02243998875411144,-0.038902805790004075
Open,AMZN,-0.02640533493997662,-0.04737105523756289
Open,GOOGL,-0.028737539141882252,-0.04100270872966452
Open,META,-0.032253814788101284,-0.05403366957708307
Open,MSFT,-0.025238336252889237,-0.03599690536912012
Volume,AAPL,-0.40496372847249007,-0.4928140752025946
Volume,AMZN,-0.40439692584608916,-0.5032207125486479
Volume,GOOGL,-0.42465736294051726,-0.511566085946583
Volume,META,-0.3965926637475628,-0.4974087454724283
Volume,MSFT,-0.3594839066473183,-0.49984999260034446
